PRTY_ID,EFFECTIVE_START_DT,EFFECTIVE_END_DT,PRTY_TYP_CD,PRTY_SBTYP_CD,RSK_GRD_CD,RSK_GRD_VAL,RSK_GRD_DT,PRTY_SGMNT_CD,HIGH_RSK_CUST_IND,RLTNSHP_MGR_ID
PRTY00249,2021-09-05,,ORG,LTD,CCC,7,2021-09-05,SME,N,RM006
PRTY00250,2022-02-17,2023-03-14,ORG,PLC,B,6,2022-02-17,MID,N,RM015
PRTY00250,2023-03-14,,ORG,PLC,CCC,7,2023-03-14,MID,N,RM015
PRTY00251,2020-09-30,,ORG,PUB,CCC,7,2020-09-30,SME,N,RM003
PRTY00252,2021-06-24,,ORG,PUB,CCC,7,2021-06-24,SME,N,RM010
PRTY00253,2020-12-11,,ORG,LTD,CCC,7,2020-12-11,SME,N,RM019
PRTY00254,2021-01-24,,ORG,LTD,BBB,4,2021-01-24,MID,N,RM010
PRTY00255,2021-02-24,,ORG,PLC,CCC,7,2021-02-24,SME,N,RM002
PRTY00256,2021-06-01,,ORG,LTD,BB,5,2021-06-01,SME,N,RM007
PRTY00257,2020-08-13,,ORG,LTD,B,6,2020-08-13,SME,N,RM012
PRTY00258,2020-10-20,2022-08-12,ORG,LTD,B,6,2020-10-20,SME,N,RM016
PRTY00258,2022-08-12,,ORG,LTD,CC,8,2022-08-12,SME,N,RM016
PRTY00259,2020-07-23,,ORG,PLC,B,6,2020-07-23,MID,N,RM011
PRTY00260,2020-03-09,,ORG,PRT,CCC,7,2020-03-09,SME,N,RM015
PRTY00261,2021-09-11,2025-03-08,ORG,PRT,B,6,2021-09-11,SME,N,RM013
PRTY00261,2025-03-08,,ORG,PRT,CCC,7,2025-03-08,SME,N,RM013
PRTY00262,2021-12-29,,ORG,PLC,B,6,2021-12-29,SME,N,RM020
PRTY00263,2021-10-31,,ORG,PLC,BB,5,2021-10-31,SME,N,RM019
PRTY00264,2021-12-04,,ORG,COP,B,6,2021-12-04,SME,N,RM005
PRTY00265,2022-04-17,2023-01-07,ORG,PLC,BB,5,2022-04-17,SME,N,RM014
PRTY00265,2023-01-07,,ORG,PLC,CCC,7,2023-01-07,SME,N,RM014
PRTY00266,2020-06-17,,ORG,PRT,BBB,4,2020-06-17,MID,N,RM017
PRTY00267,2022-04-07,,ORG,LTD,BB,5,2022-04-07,SME,N,RM005
PRTY00268,2022-01-03,,ORG,PRT,B,6,2022-01-03,MID,N,RM014
PRTY00269,2020-02-19,,ORG,LTD,A,3,2020-02-19,INST,N,RM014
PRTY00270,2021-08-25,2025-08-21,ORG,PUB,B,6,2021-08-25,SME,N,RM011
PRTY00270,2025-08-21,,ORG,PUB,CCC,7,2025-08-21,SME,N,RM011
PRTY00271,2020-10-28,,ORG,PRT,B,6,2020-10-28,SME,N,RM001
PRTY00272,2020-03-11,,ORG,LTD,BB,5,2020-03-11,LRGE,N,RM011
PRTY00273,2021-07-02,,ORG,PRT,B,6,2021-07-02,SME,N,RM011
PRTY00274,2021-08-04,2023-10-01,ORG,PLC,CCC,7,2021-08-04,SME,N,RM015
PRTY00274,2023-10-01,,ORG,PLC,C,9,2023-10-01,SME,N,RM015
PRTY00275,2020-05-10,,ORG,LTD,CCC,7,2020-05-10,SME,N,RM013
PRTY00276,2020-06-11,,ORG,PLC,B,6,2020-06-11,SME,N,RM020
PRTY00277,2020-11-06,,ORG,PUB,CCC,7,2020-11-06,SME,N,RM012
PRTY00278,2022-05-27,,ORG,PUB,CCC,7,2022-05-27,SME,Y,RM008
PRTY00279,2021-08-13,,ORG,COP,B,6,2021-08-13,SME,N,RM017
PRTY00280,2022-05-27,,ORG,PUB,B,6,2022-05-27,SME,N,RM003
PRTY00281,2020-05-21,2024-09-28,ORG,PRT,CCC,7,2020-05-21,SME,N,RM002
PRTY00281,2024-09-28,,ORG,PRT,C,9,2024-09-28,SME,N,RM002
PRTY00282,2021-02-19,,ORG,COP,BB,5,2021-02-19,SME,N,RM010
PRTY00283,2020-03-12,,ORG,PRT,CCC,7,2020-03-12,SME,N,RM006
PRTY00284,2020-06-25,,ORG,COP,B,6,2020-06-25,SME,N,RM004
PRTY00285,2020-03-31,,ORG,PRT,CCC,7,2020-03-31,SME,N,RM008
PRTY00286,2020-07-09,,ORG,COP,CCC,7,2020-07-09,SME,N,RM004
PRTY00287,2022-04-04,,ORG,PLC,A,3,2022-04-04,LRGE,N,RM004
PRTY00288,2022-01-09,,ORG,COP,BB,5,2022-01-09,MID,N,RM010
PRTY00289,2021-01-11,,ORG,PRT,B,6,2021-01-11,SME,N,RM013
PRTY00290,2021-12-19,2024-07-16,ORG,PUB,B,6,2021-12-19,SME,N,RM002
PRTY00290,2024-07-16,,ORG,PUB,CCC,7,2024-07-16,SME,N,RM002
PRTY00291,2021-06-05,,ORG,PUB,BB,5,2021-06-05,MID,N,RM010
PRTY00292,2020-11-26,,ORG,LTD,BB,5,2020-11-26,LRGE,N,RM005
PRTY00293,2021-07-14,2026-05-21,ORG,LTD,BB,5,2021-07-14,SME,N,RM018
PRTY00293,2026-05-21,,ORG,LTD,CCC,7,2026-05-21,SME,N,RM018
PRTY00294,2020-04-06,,ORG,COP,B,6,2020-04-06,SME,Y,RM004
PRTY00295,2021-09-28,2022-10-21,ORG,COP,CCC,7,2021-09-28,SME,N,RM002
PRTY00295,2022-10-21,,ORG,COP,C,9,2022-10-21,SME,N,RM002
PRTY00296,2021-01-23,,ORG,PUB,BB,5,2021-01-23,LRGE,N,RM002
PRTY00297,2021-09-22,,ORG,LTD,AA,2,2021-09-22,INST,N,RM007
PRTY00298,2022-03-10,,ORG,PRT,AA,2,2022-03-10,INST,N,RM017
PRTY00299,2020-12-09,2025-10-21,ORG,PUB,BBB,4,2020-12-09,INST,N,RM014
PRTY00299,2025-10-21,,ORG,PUB,B,6,2025-10-21,INST,N,RM014
